artist,painting,gif_compression,jpeg_compression,kolmogorov_complexity,zurek_entropy,hough_value,laplacian_variance,sobel_sharpness,michelson_contrast,mean_magnitude_spectrum,fractal_dimension,edge_count
afro,196,84.26043415823905,15.219092629035567,0.4426,7.2640389570161705,22,101.84680727956584,76.99757290738864,1.0,156.26564102690043,1.656090008222397,12183.0
afro,197,80.16427198334486,12.3325557894097,0.4389125,6.816598199448696,22,27.136588267050683,40.599581533445864,14.75,149.91027066965688,1.6596453822044273,2935.0
afro,198,85.2580711338718,14.68684228521932,0.4479475,7.339729885065809,18,73.89079971960746,64.65522792025428,1.0,158.79695252418622,1.6398870705465816,9634.0
afro,199,98.68058141036843,16.11947329630502,0.5340375,7.282931206505623,17,38.957111212061136,58.600889706678046,17.142857142857142,155.14331986155682,1.6448092949505335,909.0
afro,200,99.67213986672846,18.52846646556899,0.529515,7.34946508667452,21,147.90132679055387,96.51927915154839,83.66666666666667,160.42430998806833,1.6517584329736743,15492.0
afro,201,72.8791666350077,10.128332738144987,0.3844925,6.686812889323866,16,25.46604754087457,37.14771325607992,7.689655172413793,142.8955746091537,1.6585859121312698,1092.0
afro,202,91.7860209253026,15.210354757581054,0.49438,6.96331359296339,19,56.090800449004746,61.80250592882216,1.0,153.98922383368537,1.6543587089028646,5522.0
afro,203,81.6713648555212,11.857671471229608,0.439755,6.985496400896527,26,33.452345725148916,46.44330323527869,241.0,146.33882978511056,1.6139359047472739,2971.0
afro,204,78.00221865953453,11.791187666684396,0.42437,6.706245686597724,5,23.08909027185291,37.52233681167863,253.0,147.93128631424824,1.6103553700133846,512.0
afro,205,68.18920910866113,13.679327715768439,0.359065,6.002022994080094,18,105.23612724244595,67.05195612262543,0.9759036144578314,158.74437650462187,1.65623112502246,12099.0
afro,206,95.31992006747157,14.885153976491328,0.525525,7.220525361403911,12,23.72631249843107,47.28731841513461,1.0,155.77290946709164,1.6238294609382593,723.0
afro,207,84.58525503187424,13.216600436133758,0.4606975,7.198927638933403,13,41.00156254936883,52.06170677994642,7.466666666666667,144.43179021919724,1.5895647089049787,3943.0
afro,208,94.89822279292764,14.43572345776569,0.521455,7.51112536466022,16,30.46536429527623,51.15174816862943,83.66666666666667,149.61600094148642,1.5980424311321129,2801.0
afro,209,91.15955353275942,13.340070358860581,0.49276,7.456759284129473,17,26.35485259476991,43.932251388938596,1.0,153.4399048840319,1.6183264638510508,1777.0
afro,210,80.8446862344333,12.232260221410064,0.44011,6.923728630572671,18,38.35604506358504,52.61745797527957,1.0,142.58907717355257,1.5861205311599142,3382.0
afro,211,81.26600360152267,13.108706719043242,0.4307275,6.986050114563531,16,63.007955913839396,56.70286809501525,41.333333333333336,152.24604583468394,1.6345961596177634,8266.0
afro,212,83.77111335678629,13.89283570522221,0.46534,6.512278788157566,11,36.723660348914564,46.25985373748931,1.0,154.41437623432387,1.6598119916098295,3415.0
afro,213,52.9135102688985,6.347113843067828,0.2645575,6.797741734959673,10,13.82313079816231,21.419656478289916,6.875,124.93157348180652,1.5956435220317244,748.0
afro,214,55.680756167797526,6.727021297611902,0.2899075,6.415053972804799,11,12.090604390425142,19.72636157322661,11.7,131.31182522683827,1.6336718820492568,630.0
afro,215,57.40249675179127,7.080715137792434,0.2946075,6.7813083332873685,0,11.757022646197584,21.11026054157989,1.0,128.8274248447259,1.583300984653904,0.0
afro,216,81.66376670643032,11.848173784866006,0.4610375,7.163196906545219,18,13.878530809874064,34.04496916683161,1.0,140.8227568438947,1.6053449297541096,1356.0
afro,217,104.83736161870969,19.43340602229297,0.567295,7.298382507016597,20,63.45726136605663,75.16501228367635,1.0,164.9483238945085,1.653670233157987,7144.0
afro,218,59.90646678469125,7.0507024488834515,0.3162,6.447211816502316,0,8.059085826491355,17.67854038704516,0.7489177489177489,131.20607729173,1.5995910857177216,0.0
afro,219,107.98337524978916,20.235010751380962,0.5708525,7.5581413052383315,16,58.81406336929649,78.93475093952021,1.0,166.21649645011104,1.6370714917384164,3638.0
afro,220,92.35056340275509,15.73044806285189,0.50725,7.322238951673362,33,45.85951583995484,60.59326260523845,1.0,153.63753063975935,1.612964021701471,3529.0
afro,221,89.15592161749399,14.469155313765567,0.4936025,7.2703540340644714,24,43.05314357193129,52.121677063291045,1.0,155.6054778929722,1.5755892970296577,3250.0
agostino bonalumi,1882,34.81092005987341,4.276998123257174,0.133975,5.641124310710313,0,7.563056609593332,13.363488068979558,2.681159420289855,113.43463965203183,1.5781241775360138,0.0
agostino bonalumi,1883,34.83713367423696,3.894431316531293,0.12802,5.11104591036449,18,6.062231528048869,10.569838652818605,7.193548387096774,116.32326028024738,1.6041870262049716,1285.0
agostino bonalumi,1884,28.48090205226007,3.460577003441961,0.1093175,4.608623618907969,16,11.469791177645675,11.063601982092154,5.864864864864865,113.81683989543794,1.3326108047966063,1024.0
agostino bonalumi,1885,22.188114975192043,2.6095843052632377,0.0907825,4.201106436581927,0,1.0536610652779927,3.7076196977127114,0.35365853658536583,103.2721506145751,1.6514517916604694,0.0
agostino bonalumi,1886,38.69509387513202,4.65614576289216,0.18671,5.459545796621069,13,9.596708562225103,12.691429358560807,1.0,130.62374842572157,1.6144461105316734,660.0
agostino bonalumi,1887,33.81594243642249,3.8169301958043023,0.1562525,5.305580576149495,3,8.059343996093958,8.979447843756343,11.7,116.85242260631901,1.5675502737387654,512.0
agostino bonalumi,1888,57.57269529142701,6.379026069249531,0.2865325,7.03324455609156,31,15.673072806559503,19.826731385452142,49.8,133.37582749905468,1.4950667559009576,1916.0
agostino bonalumi,1889,43.789272933113494,4.7655591098008525,0.1603825,6.598166294801303,21,40.81693787929544,19.89498260227559,1.0,119.09436556542535,1.5097760536451987,2008.0
agostino bonalumi,1890,64.43116456831116,8.291480195424395,0.3627725,5.75600083711898,16,9.834836854002788,21.283006207177007,1.0,137.5580728415266,1.6419545006329344,628.0
agostino bonalumi,1891,18.543282856296205,2.575012726899727,0.044865,4.818976409867383,6,6.884052097317181,6.268947666123766,1.0,118.59691080727009,1.6613513907948225,250.0
agostino bonalumi,1892,68.81795594593157,8.634916534332236,0.366545,7.356084233072401,26,16.324012491837493,25.351240540945966,18.53846153846154,145.95720565611762,1.473599605150421,1859.0
agostino bonalumi,1893,45.01371465910904,5.898443139251278,0.239955,5.057296524533206,22,26.21764373779297,21.297108195775188,24.4,129.68772781278963,1.3295606822112778,1885.0
agostino bonalumi,1894,37.169765445137564,4.778855870709895,0.1589725,5.396459200328277,26,27.489074643643107,19.730521224547754,1.0,130.08410628099463,1.3213818050913042,2527.0
agostino bonalumi,1895,49.41950140945666,7.291943682518938,0.252505,5.274891665994409,23,31.981497331522405,26.7284970644807,1.0,145.52250834615734,1.4686299523173385,1961.0
agostino bonalumi,1896,46.03642552674169,5.269696301980837,0.230475,5.558381394652442,16,14.266616179549601,16.398377024110204,20.166666666666668,117.7241084193023,1.5176219301605607,1024.0
agostino bonalumi,1897,44.25086049038454,6.02077333961447,0.23317,5.947530034445592,0,4.490463099442422,14.861858925214118,2.5277777777777777,119.0040281442261,1.6226723639171627,0.0
agostino bonalumi,1898,33.00256057624363,3.7151149979864906,0.1331125,5.077470259899599,0,2.130281869423925,6.529660539242738,0.9900497512437811,120.07558614345437,1.5515576374554327,0.0
agostino bonalumi,1899,38.130551397679525,5.969865740705564,0.2055,4.4609234186539295,31,17.416056684436626,17.285111711215695,5.195121951219512,133.86037964658104,1.4714314249996536,1933.0
agostino bonalumi,1900,28.82205894644065,3.986368920530959,0.115305,5.088386894940358,0,2.8031342825706815,9.629658593790447,0.6387096774193548,108.4855260455467,1.6262988835188033,0.0
agostino bonalumi,1901,42.76580225057176,6.537827385248954,0.19523,6.449642276439499,0,8.241525738500059,20.818588056124995,1.5918367346938775,116.51899351542355,1.6317656125730153,0.0
agostino bonalumi,1902,47.46753690800921,4.721109937619196,0.2115675,5.8703916235388185,0,2.6135978225938743,9.810854416363492,0.544973544973545,114.53105788735589,1.6024914794669265,0.0
agostino bonalumi,1903,44.32076346202065,7.647157152517647,0.2456925,5.634287722893744,0,9.810787174021243,22.28367585361104,5.512820512820513,125.23229223934456,1.4008553352879658,0.0
agostino bonalumi,1904,75.53395992736169,9.385233757056781,0.413785,6.381544521325041,18,7.8640911272814265,25.68081596889975,1.8222222222222222,134.07870569178849,1.6406641408183678,2347.0
agostino bonalumi,1905,49.75154052472818,5.385947983071324,0.2563625,6.118766268622864,0,3.7647184346424183,11.311184416097502,0.6833333333333333,-inf,1.6198580032332233,0.0
agostino bonalumi,1906,33.070943918061566,4.317268313438846,0.1383425,5.0423626698390915,14,11.234966195595916,11.953779786272122,3.8846153846153846,128.4479149263374,1.5222002148607665,967.0
